10:35:32 Пистолет повешен
10:35:32 Завершение транзакции ТРК
10:35:32 Запрос transaction/get-status
10:35:33 Завершение транзакции ТРК
10:35:33 Запрос transaction/get-status
10:35:33 Запрос transaction/end-transaction
10:35:33 Ответ transaction/end-transaction успешно
10:35:33 Запрос transaction/get-status
10:35:33 Запрос transaction/end-transaction
10:35:34 Запрос transaction/get-status
10:35:34 Запрос transaction/get-status
10:35:34 Запрос transaction/get-status
10:35:34 Запрос transaction/get-status
10:35:34 Запрос transaction/get-status
10:35:35 Запрос transaction/get-status
10:35:35 Запрос transaction/get-status
10:35:35 Запрос transaction/get-status
10:35:35 Запрос transaction/get-status
10:35:36 Запрос transaction/get-status
10:35:36 Запрос transaction/get-status
10:35:36 Запрос transaction/get-status
10:35:36 Запрос transaction/get-status
10:35:37 Запрос transaction/get-status
10:35:37 Запрос transaction/get-status
10:35:37 Запрос transaction/get-status
10:35:37 Запрос transaction/get-status
10:35:38 Запрос transaction/get-status
10:35:38 Запрос transaction/get-status
10:35:38 Запрос transaction/get-status
10:35:38 Запрос transaction/get-status
10:35:39 Запрос transaction/get-status
10:35:39 Запрос transaction/get-status
10:35:39 Запрос transaction/get-status
10:35:40 Запрос transaction/get-status
10:35:40 Запрос transaction/get-status
10:35:40 Запрос transaction/get-status
10:35:40 Запрос transaction/get-status
10:35:41 Запрос transaction/get-status
10:35:41 Запрос transaction/get-status
10:35:41 Запрос transaction/get-status
10:35:41 Запрос transaction/get-status
10:35:42 Запрос transaction/get-status
10:35:42 Запрос transaction/get-status
10:35:42 Запрос transaction/get-status
10:35:42 Запрос transaction/get-status
10:35:43 Запрос transaction/get-status
10:35:43 Запрос transaction/get-status
10:35:43 Запрос transaction/get-status
10:35:43 Запрос transaction/get-status
10:35:44 Запрос transaction/get-status
10:35:44 Запрос transaction/get-status
10:35:44 Запрос transaction/get-status
10:35:44 Запрос transaction/get-status
10:35:45 Запрос transaction/get-status
10:35:45 Запрос transaction/get-status
10:35:45 Запрос transaction/get-status
10:35:45 Запрос transaction/get-status
10:35:46 Запрос transaction/get-status
10:35:46 Запрос transaction/get-status
10:35:46 Запрос transaction/get-status
10:35:46 Запрос transaction/get-status
10:35:47 Запрос transaction/get-status
10:35:47 Запрос transaction/get-status
10:35:47 Запрос transaction/get-status
10:35:47 Запрос transaction/get-status
10:35:48 Запрос transaction/get-status
10:35:48 Запрос transaction/get-status
10:35:48 Запрос transaction/get-status
10:35:48 Запрос transaction/get-status
10:35:49 Запрос transaction/get-status
10:35:49 Запрос transaction/get-status
10:35:49 Запрос transaction/get-status
10:35:49 Запрос transaction/get-status
10:35:50 Запрос transaction/get-status
10:35:50 Запрос transaction/get-status
10:35:50 Запрос transaction/get-status
10:35:50 Запрос transaction/get-status
10:35:51 Запрос transaction/get-status
10:35:51 Запрос transaction/get-status
10:35:51 Запрос transaction/get-status
10:35:51 Запрос transaction/get-status
10:35:52 Запрос transaction/get-status
10:35:52 Запрос transaction/get-status
10:35:52 Запрос transaction/get-status
10:35:52 Запрос transaction/get-status
10:35:53 Запрос transaction/get-status
10:35:53 Запрос transaction/get-status
10:35:53 Запрос transaction/get-status
10:35:53 Запрос transaction/get-status
10:35:54 Запрос transaction/get-status
10:35:54 Запрос transaction/get-status
10:35:54 Запрос transaction/get-status
10:35:54 Запрос transaction/get-status
10:35:55 Запрос transaction/get-status
10:35:55 Запрос transaction/get-status
10:35:55 Запрос transaction/get-status
10:35:55 Запрос transaction/get-status
10:35:56 Запрос transaction/get-status
10:35:56 Запрос transaction/get-status
10:35:56 Запрос transaction/get-status
10:35:56 Запрос transaction/get-status
10:35:57 Запрос transaction/get-status
10:35:57 Запрос transaction/get-status
10:35:57 Запрос transaction/get-status
10:35:57 Запрос transaction/get-status
10:35:58 Запрос transaction/get-status
10:35:58 Запрос transaction/get-status
10:35:58 Запрос transaction/get-status
10:35:58 Запрос transaction/get-status
10:35:59 Запрос transaction/get-status
10:35:59 Запрос transaction/get-status
10:35:59 Запрос transaction/get-status
10:35:59 Запрос transaction/get-status
10:36:00 Запрос transaction/get-status
10:36:00 Запрос transaction/get-status
10:36:00 Запрос transaction/get-status
10:36:00 Запрос transaction/get-status
10:36:01 Запрос transaction/get-status
10:36:01 Запрос transaction/get-status
10:36:01 Запрос transaction/get-status
10:36:01 Запрос transaction/get-status
10:36:02 Запрос transaction/get-status
10:36:02 Запрос transaction/get-status
10:36:03 Запрос transaction/get-status
10:36:03 Запрос transaction/get-status
10:36:03 Запрос transaction/get-status
10:36:03 Запрос transaction/get-status
10:36:03 Запрос transaction/get-status
10:36:03 Запрос transaction/get-status
10:36:04 Запрос transaction/get-status
10:36:04 Запрос transaction/get-status
10:36:04 Запрос transaction/get-status
10:36:04 Запрос transaction/get-status
10:36:05 Запрос transaction/get-status
10:36:05 Запрос transaction/get-status
10:36:05 Запрос transaction/get-status
10:36:06 Запрос transaction/get-status
10:36:06 Запрос transaction/get-status
10:36:06 Запрос transaction/get-status
10:36:06 Запрос transaction/get-status
10:36:07 Запрос transaction/get-status
10:36:07 Запрос transaction/get-status
10:36:07 Запрос transaction/get-status
10:36:08 Запрос transaction/get-status
