10:24:40 Пистолет поднят
10:24:41 Запрос transaction/get-status
10:24:41 Запрос transaction/get-status
10:24:42 Запрос transaction/get-status
10:24:42 Запрос transaction/get-status
10:24:43 Запрос transaction/get-status
10:24:43 Запрос transaction/get-status
10:24:44 Запрос transaction/get-status
10:24:44 Запрос transaction/get-status
10:24:45 Запрос transaction/get-status
10:24:45 Запрос transaction/get-status
10:24:46 Запрос transaction/get-status
10:24:46 Запрос transaction/get-status
10:24:47 Запрос transaction/get-status
10:24:47 Запрос transaction/get-status
10:24:48 Запрос transaction/get-status
10:24:48 Запрос transaction/get-status
10:24:49 Запрос transaction/get-status
10:24:49 Запрос transaction/get-status
10:24:50 Запрос transaction/get-status
10:24:50 Запрос transaction/get-status
10:24:51 Запрос transaction/get-status
10:24:51 Запрос transaction/get-status
10:24:52 Запрос transaction/get-status
10:24:52 Запрос transaction/get-status
